gid,cat,Hetereogen,Uncertain,label,dakar_dominance,dakar_pielou,dakar_renyi,dakar_richness,dakar_shannon,dakar_simpson,dakar_cl_10_patchnum,dakar_cl_10_patchdensity,dakar_cl_10_mps,dakar_cl_10_padcv,dakar_cl_10_padrange,dakar_cl_10_padsd,dakar_cl_10_shape,dakar_cl_22_patchnum,dakar_cl_22_patchdensity,dakar_cl_22_mps,dakar_cl_22_padcv,dakar_cl_22_padrange,dakar_cl_22_padsd,dakar_cl_22_shape,dakar_cl_23_patchnum,dakar_cl_23_patchdensity,dakar_cl_23_mps,dakar_cl_23_padcv,dakar_cl_23_padrange,dakar_cl_23_padsd,dakar_cl_23_shape,dakar_cl_33_patchnum,dakar_cl_33_patchdensity,dakar_cl_33_mps,dakar_cl_33_padcv,dakar_cl_33_padrange,dakar_cl_33_padsd,dakar_cl_33_shape,dakar_cl_34_patchnum,dakar_cl_34_patchdensity,dakar_cl_34_mps,dakar_cl_34_padcv,dakar_cl_34_padrange,dakar_cl_34_padsd,dakar_cl_34_shape,dakar_cl_45_patchnum,dakar_cl_45_patchdensity,dakar_cl_45_mps,dakar_cl_45_padcv,dakar_cl_45_padrange,dakar_cl_45_padsd,dakar_cl_45_shape,dakar_cl_99_patchnum,dakar_cl_99_patchdensity,dakar_cl_99_mps,dakar_cl_99_padcv,dakar_cl_99_padrange,dakar_cl_99_padsd,dakar_cl_99_shape,dakar_cl_111_patchnum,dakar_cl_111_patchdensity,dakar_cl_111_mps,dakar_cl_111_padcv,dakar_cl_111_padrange,dakar_cl_111_padsd,dakar_cl_111_shape,dakar_cl_112_patchnum,dakar_cl_112_patchdensity,dakar_cl_112_mps,dakar_cl_112_padcv,dakar_cl_112_padrange,dakar_cl_112_padsd,dakar_cl_112_shape,dakar_cl_113_patchnum,dakar_cl_113_patchdensity,dakar_cl_113_mps,dakar_cl_113_padcv,dakar_cl_113_padrange,dakar_cl_113_padsd,dakar_cl_113_shape,area,perimeter,compact_circle,compact_square,fd,NDVI_stddev,NDVI_median,NDWI_stddev,NDWI_median,mean_build_height,count_buildpixels,prop_10,prop_22,prop_23,prop_33,prop_34,prop_45,prop_99,prop_111,prop_112,prop_113
2,20291,0,0,ACS,0.587862429,0.732452279,1.24124629,9,1.609362149,0.710976214,55,1.547974546,0.002334545,339.2459993,0.045325,0.007919852,11.22570282,143,4.024733819,0.006433566,261.9696784,0.145975,0.016853993,18.02085823,68,1.913859438,0.021977574,269.7600203,0.372,0.059286707,14.45004883,0,0,0,0,0,0,0,2,0.056289983,0.0264625,92.53660841,0.048975,0.0244875,1.999527578,136,3.827718877,0.031769669,838.514314,3.060175,0.266393223,16.10681421,132,3.71513891,0.003426705,165.7042655,0.03485,0.005678196,20.08397538,78,2.195309356,0.008314744,234.8684886,0.1026,0.019528713,16.6454326,40,1.12579967,0.014136875,191.4335257,0.121175,0.027062718,11.5760947,6,0.16886995,0.049891667,170.7722529,0.236225,0.085201123,6.328490767,355303,4622,2.187387,0.515857,1.320517,0.129280859,0.259953,0.13347422,-0.399412,6.68,60535,1.44553,10.35736,16.82479,0,0.59583,48.64214,5.09227,7.30137,6.36612,3.37008
4,20292,0,0,ACS,0.568409287,0.741305785,1.343973691,9,1.62881529,0.739192761,117,0.939805083,0.008002991,914.7508804,0.796125,0.073207435,15.1294092,344,2.763187594,0.017800872,463.1045813,1.320375,0.082436654,35.5799093,210,1.686829636,0.063305595,1118.218114,10.28095,0.707894633,21.55648949,0,0,0,0,0,0,0,2,0.016065044,0.01515,79.04290429,0.02395,0.011975,1.996335339,549,4.409854619,0.010001913,584.6850396,0.965,0.058479686,38.38071952,436,3.502179625,0.003740252,290.7614078,0.17045,0.01087521,34.70416182,182,1.461919018,0.008351374,306.9019845,0.23815,0.025630531,24.82636907,73,0.586374112,0.01007637,187.6467811,0.096925,0.018907984,13.21332896,12,0.096390265,0.113427083,214.7924489,0.79075,0.24363281,5.744970689,1244939,12072,3.052111,0.369705,1.339354,0.149367357,0.440514,0.135383661,-0.525104,9.34,144666,3.0085,19.67486,42.7143,0,0.09735,17.64279,5.23961,4.88361,2.36341,4.37331
25,20297,0,0,ACS,0.293428471,0.858890733,1.665026697,8,1.78601307,0.810814393,13,1.628236119,0.001051923,94.34583189,0.003675,0.000992446,7.567973509,57,7.139189138,0.003391228,196.7784471,0.029275,0.006673206,12.53244109,33,4.133214764,0.015519697,362.1636679,0.3214,0.056206704,6.846955283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,5.385704087,0.010788372,360.0139591,0.21015,0.038839645,10.24442669,48,6.011948748,0.004439583,505.461303,0.15785,0.022440376,9.726455768,40,5.00995729,0.003534375,336.6396798,0.07445,0.011898109,8.397636083,14,1.753485052,0.003189286,104.4028603,0.0104,0.003329706,6.96858452,2,0.250497865,0.2069375,99.81878587,0.413125,0.2065625,3.404156501,79841,2026,2.022654,0.557871,1.349036,0.175237297,0.265968,0.178708229,-0.390741,14.38,23996,0.68511,9.68425,25.6585,0,0,23.24119,10.67622,7.08283,2.23695,20.73496
26,20300,0,0,ACS,0.373425346,0.820420368,1.538646412,8,1.706016196,0.785328518,11,1.309648538,0.002525,221.0673835,0.02,0.005581951,5.22026102,38,4.524240404,0.004289474,241.5463719,0.060525,0.010361068,10.83018851,18,2.143061244,0.014511111,232.2547932,0.148825,0.033702751,9.010378778,0,0,0,0,0,0,0,1,0.119058958,0.01155,0,0,0,1.651609473,50,5.9529479,0.0116475,410.2113249,0.33285,0.047779364,12.95969945,40,4.76235832,0.00398625,222.3984283,0.048125,0.008865357,11.66381444,31,3.690827698,0.007729032,188.6791912,0.066025,0.014583076,10.8888948,5,0.59529479,0.13097,109.5998964,0.3336,0.143542984,3.796828455,0,0,0,0,0,0,0,83992,1886,1.835768,0.614663,1.330375,0.134310338,0.203053,0.162737026,-0.306223,6.17,35778,1.32275,7.76264,12.43928,0,0.55005,27.73478,7.59358,11.41061,31.1863,0
118,20344,YES,0,VEG,0.997950892,0.443033002,0.630731742,6,0.793808577,0.467797776,5,1.556662516,0.000785,98.72816928,0.00205,0.000775016,3.391869259,4,1.245330012,0.00061875,17.23103243,3.00E-04,0.000106617,3.115617227,16,4.98132005,0.015042188,341.1370992,0.21305,0.051314482,5.94696489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7.160647572,0.023209783,451.7284633,0.514925,0.104845194,5.745016104,9,2.801992528,0.000986111,57.81308423,0.00215,0.000570101,5.466672392,10,3.113325031,0.0013225,132.9863308,0.005775,0.001758744,4.913043478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32120,1104,1.737706,0.64935,1.350397,0.114233896,0.266123,0.110495945,-0.378678,0.41,529,0.48879,0.30822,29.97198,0,0,66.47883,1.10523,1.64695,0,0
164,20377,YES,0,ACS,0.656610471,0.68423711,1.007910469,8,1.422831071,0.635019178,28,1.561654685,0.014250893,349.7024936,0.225225,0.049835728,10.24245884,26,1.450107921,0.003108654,172.6400762,0.023975,0.005366782,8.327547739,15,0.836600724,0.021385,243.7536013,0.183125,0.052126708,7.08459109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,5.911978449,0.02435967,750.8039999,1.885,0.182893375,11.41950916,106,5.911978449,0.003005425,290.1864401,0.067675,0.008721334,17.13249557,83,4.629190672,0.005186145,236.9067803,0.07655,0.012286328,16.69367314,38,2.119388501,0.008731579,217.8721293,0.078725,0.019023677,7.964121673,7,0.390413671,0.002692857,241.1622745,0.018575,0.006494156,3.295815609,179297,5692,3.792045,0.297565,1.429604,0.108346633,0.146586,0.129741572,-0.358958,4.44,31244,8.90199,1.80315,7.15628,0,0,57.60554,7.1072,9.60306,7.40224,0.42053
168,20383,0,0,ACS,0.530983069,0.74465112,1.280181158,8,1.548458473,0.722013064,98,2.404453637,0.008313776,463.6130318,0.357225,0.038543747,15.98929744,57,1.398508748,0.016565351,623.6154209,0.78865,0.103304083,12.46253513,52,1.275832542,0.055048077,365.0356832,1.039925,0.200945124,13.7715611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,3.336792802,0.031688235,684.4442335,1.983,0.216888299,19.30313981,145,3.557609973,0.002772414,231.2034631,0.07195,0.006409917,20.5509257,62,1.521184954,0.004166129,204.6321111,0.0444,0.008525238,11.9728731,14,0.343493377,0.038278571,319.2627736,0.477925,0.122209229,7.03160517,19,0.466169583,0.003076316,242.5716905,0.034,0.007462271,5.863147363,407577,6694,2.957849,0.381486,1.36383,0.171162807,0.261789,0.157709194,-0.381673,6.58,34106,7.99604,9.26672,28.09285,0,0,42.29483,3.94527,2.53498,5.25937,0.57363
174,20386,0,0,DEPR,0.485549556,0.766500021,1.463500626,8,1.593891985,0.768575276,4,0.484079825,0.0009875,37.05640802,9.00E-04,0.000365932,2.864006223,12,1.452239474,0.00550625,165.0391681,0.0287,0.009087469,5.174078996,1,0.121019956,6.00E-04,0,0,0,2.041241452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3.50957873,0.008527586,355.42367,0.164675,0.03030906,7.279415555,117,14.15933487,0.003178846,215.4986854,0.05245,0.006850372,20.37364392,26,3.146518861,0.0259125,328.1585959,0.4381,0.085034096,12.95066093,46,5.566917985,0.012068478,259.5262168,0.202925,0.031320865,13.03544494,25,3.025498905,0.005882,160.2380422,0.040125,0.009425202,7.086585615,82631,1456,1.428844,0.789715,1.286585,0.087146857,0.153313,0.142991983,-0.268751,5.69,55037,0.19121,3.19856,0.02904,0,0,11.97129,18.00414,32.61367,26.87369,7.11839
244,20422,0,0,PLAN,0.346005346,0.822188426,1.322607514,7,1.599904803,0.73356035,4,2.355157796,0.00344375,142.832369,0.011825,0.00491879,2.70519095,3,1.766368347,0.01085,134.7452882,0.03115,0.014619864,2.799083677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4.710315591,0.002646875,183.6649718,0.01515,0.004861382,4.501213269,31,18.25247292,0.0017,187.5272053,0.018025,0.003187962,9.180414192,12,7.065473387,0.003216667,160.4159428,0.0184,0.005160046,6.171462508,3,1.766368347,0.063658333,137.7636646,0.187175,0.087698053,4.994200721,3,1.766368347,0.024941667,136.3994749,0.072675,0.034020302,3.098249185,16984,668,1.445944,0.780375,1.335579,0.110548341,0.109079,0.164968922,-0.209793,8.38,12176,3.24423,7.66604,0,0,0,4.98705,12.41168,9.09091,44.97763,17.62247
267,20281,0,0,PLAN,0.260446887,0.866156776,1.633925274,7,1.685463262,0.804837996,6,2.95304656,0.000545833,61.35904264,0.001,0.000334918,3.451131024,9,4.42956984,0.010252778,232.2928498,0.0771,0.02381647,4.97912875,7,3.445220986,0.001182143,149.234316,0.005125,0.001764163,4.067407853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8.859139679,0.006959722,224.4708378,0.0526,0.015622547,7.642493248,24,11.81218624,0.004258333,130.6743317,0.0199,0.005564549,9.251226316,17,8.366965252,0.005377941,105.2194563,0.0193,0.00565864,8.284670604,4,1.968697706,0.02130625,71.43658214,0.0406,0.015220457,4.213292463,0,0,0,0,0,0,0,20318,686,1.357621,0.831144,1.316807,0.15582852,0.199072,0.170404422,-0.351374,5.37,7066,0.64475,18.16616,1.6291,0,0,24.66286,20.12009,17.99882,16.77823,0
