,X1,gid,label,uncertain,heterogen,cat,map_6_shadowback_dominance,map_6_shadowback_pielou,map_6_shadowback_renyi,map_6_shadowback_richness,map_6_shadowback_shannon,map_6_shadowback_simpson,map_6_shadowback_cl_13_patchnum,map_6_shadowback_cl_13_patchdensity,map_6_shadowback_cl_13_mps,map_6_shadowback_cl_13_padcv,map_6_shadowback_cl_13_padrange,map_6_shadowback_cl_13_padsd,map_6_shadowback_cl_13_shape,map_6_shadowback_cl_14_patchnum,map_6_shadowback_cl_14_patchdensity,map_6_shadowback_cl_14_mps,map_6_shadowback_cl_14_padcv,map_6_shadowback_cl_14_padrange,map_6_shadowback_cl_14_padsd,map_6_shadowback_cl_14_shape,map_6_shadowback_cl_20_patchnum,map_6_shadowback_cl_20_patchdensity,map_6_shadowback_cl_20_mps,map_6_shadowback_cl_20_padcv,map_6_shadowback_cl_20_padrange,map_6_shadowback_cl_20_padsd,map_6_shadowback_cl_20_shape,map_6_shadowback_cl_30_patchnum,map_6_shadowback_cl_30_patchdensity,map_6_shadowback_cl_30_mps,map_6_shadowback_cl_30_padcv,map_6_shadowback_cl_30_padrange,map_6_shadowback_cl_30_padsd,map_6_shadowback_cl_30_shape,map_6_shadowback_cl_31_patchnum,map_6_shadowback_cl_31_patchdensity,map_6_shadowback_cl_31_mps,map_6_shadowback_cl_31_padcv,map_6_shadowback_cl_31_padrange,map_6_shadowback_cl_31_padsd,map_6_shadowback_cl_31_shape,map_6_shadowback_cl_41_patchnum,map_6_shadowback_cl_41_patchdensity,map_6_shadowback_cl_41_mps,map_6_shadowback_cl_41_padcv,map_6_shadowback_cl_41_padrange,map_6_shadowback_cl_41_padsd,map_6_shadowback_cl_41_shape,map_6_shadowback_cl_51_patchnum,map_6_shadowback_cl_51_patchdensity,map_6_shadowback_cl_51_mps,map_6_shadowback_cl_51_padcv,map_6_shadowback_cl_51_padrange,map_6_shadowback_cl_51_padsd,map_6_shadowback_cl_51_shape,map_6_shadowback_cl_111_patchnum,map_6_shadowback_cl_111_patchdensity,map_6_shadowback_cl_111_mps,map_6_shadowback_cl_111_padcv,map_6_shadowback_cl_111_padrange,map_6_shadowback_cl_111_padsd,map_6_shadowback_cl_111_shape,map_6_shadowback_cl_112_patchnum,map_6_shadowback_cl_112_patchdensity,map_6_shadowback_cl_112_mps,map_6_shadowback_cl_112_padcv,map_6_shadowback_cl_112_padrange,map_6_shadowback_cl_112_padsd,map_6_shadowback_cl_112_shape,area,perimeter,compact_circle,compact_square,fd,ndvi_stddev,ndvi_median,ndwi_stddev,ndwi_median,mean_build_height,count_buildpixels,prop_13,prop_14,prop_20,prop_30,prop_31,prop_41,prop_51,prop_111,prop_112
511,674,24092,ACS,NA,NA,16399,0.704022977,0.638203759,0.958038954,7,1.241887172,0.616355507,0,0,0,0,0,0,0,5,3.382034632,0.041895,194.5494734,0.20485,0.081506502,7.37407716,2,1.352813853,0.0024375,69.23076923,0.003375,0.0016875,2.90026524,5,3.382034632,0.00061,19.67213115,0.000375,0.00012,4.074108572,2,1.352813853,0.002375,64.21052632,0.00305,0.001525,1.777416813,0,0,0,0,0,0,0,25,16.91017316,0.000882,74.82787051,0.002625,0.000659982,8.434773747,9,6.087662338,0.006094444,157.9311082,0.032025,0.009625024,5.550793056,12,8.116883117,0.005879167,250.3447559,0.054,0.014718185,6.334415744,14784,734,1.702924,0.662613,1.374503,0.05706939,0.0856635,0.045462874,-0.216242,2.74,5016,0,56.67614,1.31899,0.82522,1.28517,0,5.96591,14.84037,19.0882
515,679,24286,ACS,NA,NA,16537,0.506070204,0.717556841,1.078743466,6,1.285689265,0.659977493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1.968116513,0.062208333,457.8746628,1.428075,0.284836197,8.734464009,48,3.936233025,0.017541667,496.7501513,0.609525,0.087138256,9.426708153,7,0.574033983,0.007264286,81.86456345,0.016275,0.005946876,3.381383035,0,0,0,0,0,0,0,38,3.116184478,0.001254605,84.89392312,0.00465,0.001065084,11.85045451,5,0.410024273,0.085225,75.61806326,0.157875,0.064445494,2.780405393,19,1.558092239,0.009944737,204.0441199,0.09075,0.020291651,6.383950918,121944,1576,1.273125,0.886307,1.257356,0.11590459,0.145406,0.099873033,-0.254186,4.04,24603,0,0,48.9733,27.61924,1.66798,0,1.56383,13.97773,6.19793
518,683,24392,ACS,YES,NA,16615,0.605759656,0.708691183,1.274867244,8,1.473681885,0.720531933,0,0,0,0,0,0,0,1,0.090145314,0.0188,0,0,0,2.789667962,17,1.532470342,0.053533824,341.2333013,0.780975,0.182675233,13.56162623,38,3.425521941,0.027653947,316.6829322,0.497625,0.087575331,11.27928009,17,1.532470342,0.002688235,104.7153698,0.011675,0.002814996,5.414556622,1,0.090145314,0.007425,0,0,0,2.756229553,115,10.36671114,0.001178696,117.2723457,0.010025,0.001382284,20.33021838,14,1.262034399,0.027383929,123.6586199,0.12705,0.033862588,5.394293498,51,4.597411027,0.004343627,201.2778856,0.0545,0.008742761,11.65373825,110932,2400,2.032722,0.555108,1.340009,0.159737155,0.161854,0.118210953,-0.266209,3.89,24196,0,0.67789,32.8156,37.89168,1.64786,0.26773,4.88768,13.82378,7.98778
532,698,24830,ACS,NA,NA,16920,0.547902851,0.694209596,0.936321544,6,1.243856618,0.607932611,0,0,0,0,0,0,0,4,3.87409201,0.011875,167.6344129,0.046325,0.019906587,4.416252877,6,5.811138015,0.0034125,114.2228859,0.011075,0.003897856,5.468552565,7,6.779661017,0.003914286,127.5339885,0.0127,0.004992045,4.349679072,1,0.968523002,0.0065,0,0,0,1.488416815,0,0,0,0,0,0,0,8,7.748184019,0.00073125,54.13030439,0.0013,0.000395828,4.674101221,0,0,0,0,0,0,0,6,5.811138015,0.025066667,189.0267324,0.13065,0.047382701,3.693777338,10325,624,1.732346,0.651359,1.392756,0.114533677,0.0701019,0.087540422,-0.166097,0.1,6016,0,18.40194,7.9322,10.61501,2.51816,0,2.26634,0,58.26634
542,710,25145,ACS,NA,YES,17136,0.714416537,0.674855022,1.151038879,9,1.48280804,0.683692007,1,0.364763815,0.001275,0,0,0,1.890378113,5,1.823819077,0.02776,117.4628991,0.091375,0.032607701,6.683510182,6,2.188582893,0.05755,140.6605659,0.176725,0.080950156,10.18511333,6,2.188582893,0.001854167,112.7474204,0.006,0.002090525,3.342020515,3,1.094291446,0.004141667,55.05950833,0.005025,0.002280381,2.354946846,1,0.364763815,0.00775,0,0,0,2.016264512,40,14.59055262,0.001449375,217.2626585,0.020375,0.003148951,9.531523242,5,1.823819077,0.013325,145.0143801,0.051,0.019323166,2.566653672,16,5.836221047,0.00275625,105.9558842,0.010525,0.002920409,6.642857143,27415,994,1.693508,0.666297,1.350786,0.081264629,0.100949,0.078038804,-0.217806,2.93,4429,0.18603,20.25169,50.38118,1.6232,1.81288,1.13077,8.45887,9.72096,6.43443
545,715,25296,ACS,NA,NA,17246,0.479748646,0.769289669,1.391347787,8,1.599692896,0.75126017,0,0,0,0,0,0,0,11,0.312876874,0.016034091,121.8289448,0.059775,0.019534164,7.244560999,29,0.824857214,0.077036207,273.4650214,0.979375,0.21066708,13.51632641,144,4.09584272,0.023291319,783.7442886,2.06345,0.182544386,17.89634768,138,3.925182606,0.010273732,352.1473712,0.338125,0.036178677,16.72960462,3,0.085330057,0.006791667,58.4317101,0.0097,0.003968487,3.117534026,279,7.935695269,0.001807706,128.5413056,0.018675,0.002323649,31.4041856,53,1.507497668,0.014306604,136.8883287,0.08905,0.019584071,9.471442231,57,1.621271077,0.005689035,140.8919468,0.040075,0.008015392,12.0071685,351576,3816,1.81549,0.621529,1.291596,0.18602065,0.275799,0.113061589,-0.318545,3.89,43301,0,2.00668,25.41755,38.15903,16.13051,0.23181,5.73816,8.62687,3.68939
549,721,25615,ACS,NA,NA,17489,0.919884847,0.527272702,0.691416872,7,1.026025303,0.499134097,0,0,0,0,0,0,0,3,0.324019571,0.082675,117.8206622,0.219375,0.097408232,4.477722073,7,0.756045665,0.225971429,240.1175768,1.55435,0.542597118,4.86007629,25,2.70016309,0.013331,297.1887913,0.2027,0.039618238,8.855884678,4,0.432026094,0.0005375,86.67276816,0.00125,0.000465866,2.210571851,0,0,0,0,0,0,0,45,4.860293562,0.001564444,123.7940296,0.00985,0.001936689,13.63396611,1,0.108006524,0.020325,0,0,0,1.525611607,11,1.18807176,0.005336364,115.8631547,0.020925,0.006182879,4.488592867,92587,1406,1.303483,0.865665,1.267675,0.078140792,0.0993733,0.047537752,-0.250247,2.08,3161,0,10.71533,68.33789,14.39835,0.09289,0,3.04146,0.87809,2.53599
550,723,25675,ACS,NA,NA,17526,0.679357658,0.620843272,0.77547897,6,1.112401812,0.539516829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4.753373067,0.009002885,236.3514772,0.083875,0.021278451,9.843679672,16,2.925152656,0.055423438,365.0182309,0.83865,0.202305651,6.905158319,12,2.193864492,0.0033,79.57190517,0.008275,0.002625873,5.201070694,0,0,0,0,0,0,0,23,4.204906944,0.000865217,68.81991648,0.002825,0.000595442,8.595184611,3,0.548466123,0.02625,35.451179,0.021275,0.009305934,2.708247251,12,2.193864492,0.009029167,175.2532356,0.05575,0.015823907,4.27596307,54698,1274,1.536663,0.734305,1.310759,0.160544946,0.287813,0.125753767,-0.33991,2.25,7484,0,0,17.11763,64.84881,2.8959,0,1.45526,5.75889,7.92351
554,729,25822,ACS,NA,NA,17642,0.847208428,0.564620993,0.837126466,7,1.098701721,0.567047158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2.593544432,0.056827841,645.7360346,2.46305,0.366957846,10.17534464,63,3.713484073,0.019096429,239.6365842,0.2039,0.045762029,13.01456827,14,0.825218683,0.017475,187.629731,0.106725,0.032788295,6.808242156,1,0.058944192,0.00815,0,0,0,3.516939725,73,4.30292599,0.001162329,127.1531612,0.008425,0.001477938,15.37126717,8,0.471553533,0.016003125,43.98698335,0.019925,0.007039292,4.304010564,46,2.711432815,0.001567935,92.5480303,0.007075,0.001451093,9.913949523,169652,2288,1.567009,0.720085,1.284795,0.122062872,0.14137,0.069079622,-0.283608,2.78,8006,0,0,58.95421,28.36571,5.76828,0.19216,2.00057,3.01853,1.70054
560,739,26105,ACS,NA,NA,17835,0.584788763,0.699478024,1.025947716,7,1.361121386,0.641543411,0,0,0,0,0,0,0,4,1.241850357,0.00745625,44.07706027,0.0074,0.003286496,5.110042214,19,5.898789196,0.005353947,325.6392289,0.078875,0.017434553,7.830538833,12,3.725551071,0.000989583,65.6474256,0.002025,0.000649636,5.735393347,5,1.552312946,0.00902,104.6096259,0.0242,0.009435788,3.53161207,0,0,0,0,0,0,0,19,5.898789196,0.001506579,196.7668339,0.013775,0.002964448,6.117410189,3,0.931387768,0.047866667,69.57920142,0.075525,0.033305244,3.127095398,12,3.725551071,0.037041667,303.1499127,0.4082,0.11229178,4.814699091,32210,842,1.323463,0.852596,1.297834,0.104489896,0.0584416,0.082490302,-0.205446,2.16,23524,0,3.70382,12.63272,1.4747,5.60075,0,3.5548,17.83297,55.20025
